nome,url,url_canonical,indirizzo,cap,citta,provincia,regione,paese,telefono,email,sito_web,padiglione,stand,coespositore,espositore_principale,partita_iva,marchi,categorie,descrizione
COMAC,https://dp-plast.fieramilano.it/exhibitor/270,https://dp-plast.fieramilano.it/exhibitor/270,Via per Legnano 57,20023,CERRO MAGGIORE,MI,Lombardia,Italy,+39 0331 577387,info@comacplast.it,http://www.comacplast.com,13,N33,,,,,ESTRUSORI BIVITE | IMPIANTI D'ESTRUSIONE PER COMPOUND | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA,"COMAC srl è un'azienda italiana a conduzione familiare, fondata nel 1978 produttrice di estrusori biviti corotanti per la produzione di masterbatch e compounding.
 Sulla base dell'esperienza ottenuta con investimenti in R&D e fruttuose collaborazioni con clienti/partner di reputazione internazionale, abbiamo raggiunto una posizione di leadership non solo come produttore di estrusori per produzione di masterbatch e compound, ma anche come fornitore di linee integrate per una varietà di applicazioni speciali."
ORP STAMPI,https://dp-plast.fieramilano.it/exhibitor/271,https://dp-plast.fieramilano.it/exhibitor/271,Via Colognola 1/B,24060,VIADANICA,BG,Lombardia,Italy,+39 035 928489,direzione@cromoulds.it,http://www.orpstampi.it,11,B41 B45,,,,,"PRESSE, ALTRE | MACCHINE A INIEZIONE PER GOMMA | MACCHINE A INIEZIONE, ALTRE | MACCHINE PER RIM (REACTION INJECTION MOULDING) | SISTEMI A CANALI CALDI | STAMPI, ALTRI | STAMPI PER INIEZIONE/COMPRESSIONE | PRESSE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE A INIEZIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE PER ESPANSI E RESINE REATTIVE O RINFORZATE | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA",
POLYFILM,https://dp-plast.fieramilano.it/exhibitor/272,https://dp-plast.fieramilano.it/exhibitor/272,Via Carducci 12,21013,GALLARATE,VA,Lombardia,Italy,+39 0331 773103,polyfilm@polyfilm.it,http://www.polyfilm.it,15,B66,,,,,"IMPIANTI DI RICICLAGGIO | ATTREZZATURE DI PRETRATTAMENTO SUPERFICIALE | ATTREZZATURE DI DOSAGGIO | ATTREZZATURE PER L'ELIMINAZIONE DELLE CARICHE STATICHE | SISTEMI DI DEGASAGGIO | DISPOSITIVI E SISTEMI DI CONTROLLO E SUPERVISIONE, ALTRI | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA, ALTRE | CONTROLLI DI PROCESSO | MISURATORI DI SPESSORE | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA",
ENCA,https://dp-plast.fieramilano.it/exhibitor/273,https://dp-plast.fieramilano.it/exhibitor/273,Via Ugo La Malfa 2,20027,RESCALDINA,MI,Lombardia,Italy,+39 340 9612960,enrico@en-ca.eu,http://www.en-ca.eu,15,S58,,,,,SALDATRICI PER LA PRODUZIONE DI SACCHI E SACCHETTI | SALDATRICI A IMPULSO TERMICO | SALDATRICI PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA,"COSTRUZIONE E VENDITA MACCHINE PER MATERIE PLASTICHE, TERMOSALDATRICI PER BUSTE"
WISDOM MOLD & PLASTIC,https://dp-plast.fieramilano.it/exhibitor/274,https://dp-plast.fieramilano.it/exhibitor/274,"N. 6 Lingshan Road, Xukou Town, Wuzhong",215164,"Suzhou, Jiangsu",,,China,+86 512 66216908,bruce.wang@wisdom-mold.com,http://www.wisdom-mold.com,22,D51,,,,,"STAMPI, ALTRI | STAMPI PER INIEZIONE/COMPRESSIONE | STAMPI PER TERMOFORMATURA | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA",
PEGASO INDUSTRIES,https://dp-plast.fieramilano.it/exhibitor/275,https://dp-plast.fieramilano.it/exhibitor/275,Via G. Marconi 6,35010,BORGORICCO,PD,Veneto,Italy,+39 049 9335901,info@pegasoindustries.com,http://www.pegasoindustries.com,24,B55 C58,,,,,"ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | IMPIANTI DI RICICLAGGIO | DOSATORI E MISCELATORI | SILOS E DISPOSITIVI DI SCARICO SILOS | ATTREZZATURE DI DOSAGGIO | CONVOGLIATORI E SISTEMI DI TRASPORTO DI POLVERI E GRANULI (ESCLUSI CARRELLI E CARRELLI ELEVATORI) | ESSICCATORI/DEUMIDIFICATORI PER MATERIALI IN MASSA | REFRIGERATORI D'ACQUA | SEPARATORI DI MATEROZZE | SEPARATORI DI METALLI | CONTROLLI DI PROCESSO | DISPOSITIVI PER IL CONTROLLO DI TEMPERATURA | DISPOSITIVI PER IL CONTROLLO DI PRESSIONE | SEMILAVORATI, LASTRE E BLOCCHI | BARRE E TUBI | TUBAZIONI, RIGIDE E FLESSIBILI E CONDOTTE | INGEGNERIA DI PRODUZIONE | SERVIZI DI FABBRICAZIONE E PROCESSO | RICERCA E SVILUPPO | INSTALLAZIONE E RIMOZIONE DI MACCHINARI | RICONDIZIONAMENTO DI ATTREZZATURE E COM",
PLASTIKA KRITIS,https://dp-plast.fieramilano.it/exhibitor/276,https://dp-plast.fieramilano.it/exhibitor/276,"P Street, Iraklion Industrial Area",71408,"Iraklion, Crete",,,Greece,+30 2810 308500,info@plastikakritis.com,http://www.plastikakritis.com,9,B124 B126,,,,,"MASTERBATCH COLORANTI | MASTERBATCH RITARDANTI DI FIAMMA | MASTERBATCH MODIFICANTI | ALTRI MASTERBATCH | PIGMENTI, COLORANTI E MASTERBATCH | MATERIE PRIME, RIGENERATE E COMPOSITI","Global Colors - part of the Plastika Kritis Group - is one of Europe’s largest masterbatch producers, delivering high-performance color, additive, white, and black masterbatches to the plastics industry worldwide. With production facilities in Greece, Romania, Poland, Turkey, and China, we combine the scale of an international partner with the agility of a local supplier.
 With over 40 years of expertise, a production capacity exceeding 100,000 metric tons, and exports to more than 50 countries, Global Colors delivers consistent quality, cutting-edge technology, and a deeply customer-centric approach. We are firmly committed to sustainability, safety, and R&D excellence by developing advanced solutions based on biodegradable or high-performance polymers, aligned with circular economy principles and designed for next-generation applications such as smart packaging, lightweight components, high-barrier films and medical devices."
ACCA,https://dp-plast.fieramilano.it/exhibitor/277,https://dp-plast.fieramilano.it/exhibitor/277,Via Leonardo da Vinci 94,25020,FLERO,BS,Lombardia,Italy,+39 030 3580617,amministrazione@acca-spa.com,http://www.acca-spa.com,9,B07,,,,,"DISTACCANTI | ALTRI ADDITIVI E AUSILIARI | ALTRI ADDITIVI E AUSILIARI DI PROCESSO | MATERIE PRIME, RIGENERATE E COMPOSITI",
AHP MERKLE,https://dp-plast.fieramilano.it/exhibitor/278,https://dp-plast.fieramilano.it/exhibitor/278,Via dei Lavoratori 10,20843,VERANO BRIANZA,MB,Lombardia,Italy,+39 0362 993460,vendite@ahp.de,http://www.ahp.de,24,B63,,,,,"COMPONENTI IDRAULICI | PARTI E COMPONENTI DI MACCHINE PER MATERIE PLASTICHE E GOMMA, ALTRE | PARTI E COMPONENTI DI MACCHINE  PER MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA",Produzione e commercializzazione di cilindri Oleodinamici
CAMUNA STAMPI,https://dp-plast.fieramilano.it/exhibitor/279,https://dp-plast.fieramilano.it/exhibitor/279,Via L. Da Vinci 18,24062,COSTA VOLPINO,BG,Lombardia,Italy,+39 035 973121,commerciale@camunastampi.it,http://www.camunastampi.it,11,C21,,,,,"SISTEMI A CANALI CALDI | STAMPI, ALTRI | STAMPI PER INIEZIONE/COMPRESSIONE | STAMPI PER SOFFIAGGIO | FILIERE D'ESTRUSIONE | STAMPI PER TERMOFORMATURA | ATTREZZATURE DI MANIPOLAZIONE PER CARICO/SCARICO DELLE MACCHINE | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA","Sviluppiamo stampi per gomma e plastica pensati per garantire prestazioni affidabili e costanti nel tempo, con applicazioni nei settori automotive, industriale e medicale. L’azienda segue il cliente lungo tutto il percorso, dall’idea iniziale fino alle prove stampo e alla messa a punto del prodotto, con l’obiettivo di trasformare ogni progetto in una soluzione concreta ed efficiente. Un know-how interno solido e una produzione completamente integrata permettono di gestire ogni fase del processo, affiancati da un reparto dedicato a montaggio e manutenzione. Camuna Stampi si pone come partner tecnico, capace di unire competenza, esperienza e flessibilità per dare forma a soluzioni affidabili e performanti."
PHT,https://dp-plast.fieramilano.it/exhibitor/280,https://dp-plast.fieramilano.it/exhibitor/280,Via Primo Maggio 10/A,21022,AZZATE,VA,Lombardia,Italy,+39 0332 893300,info@p-h-t.it,http://www.petrelliheating.com,15,E42,,,,,"IMPIANTI D'ESTRUSIONE PER COMPOUND | IMPIANTI D'ESTRUSIONE, ALTRI | MACCHINE PER ESTRUSIONE/SOFFIAGGIO | CALANDRE | MACCHINE PER LA LAVORAZIONE DELLA GOMMA, ALTRE | ATTREZZATURE PER INCISIONE / PULIZIA STAMPI E FILIERE | UNITÀ DI RISCALDAMENTO E RAFFREDDAMENTO PER STAMPI E FILIERE | ELEMENTI RISCALDANTI PER CAMERE E CILINDRI DI PLASTIFICAZIONE / RESISTENZE / IRRADIATORI | PARTI E COMPONENTI DI MACCHINE PER MATERIE PLASTICHE E GOMMA, ALTRE | IMBALLAGGIO | SPINE, PRESE E INTERRUTTORI | STAMPAGGIO A INIEZIONE | ALTRI SERVIZI DI LAVORAZIONE | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE PER SOFFIAGGIO DI  MATERIE PLASTICHE | MACCHINE TRASFORMATRICI PER  MATERIE PLASTICHE E GOMMA,ALTRE",
DAMLA PLAST,https://dp-plast.fieramilano.it/exhibitor/281,https://dp-plast.fieramilano.it/exhibitor/281,Kosb Lalehan Caddesi 4,42050,Konya,,,Turkey,+90 332 2515550,marketing2@damlasulama.com,http://www.damlasulama.com,13,E13,,,,,"ESTRUSORI MONOVITE | IMPIANTI D'ESTRUSIONE PER TUBI E PROFILI | IMPIANTI D'ESTRUSIONE, ALTRI | MACCHINE TRASFORMATRICI, ALTRE | SALDATRICI, ALTRE | DISPOSITIVI DI MARCATURA | CONFEZIONATRICI | SISTEMI A CANALI CALDI | FILIERE D'ESTRUSIONE | APPARECCHIATURE PER CONTROLLI E PROVE, ALTRE | ESTRUSIONE | SALDATURA | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE TRASFORMATRICI PER  MATERIE PLASTICHE E GOMMA,ALTRE | SALDATRICI PER  MATERIE PLASTICHE E GOMMA | MACCHINE E IMPIANTI PER FINITURA, DECORAZIONE, STAMPA E E MARCATURA DI PRODOTTI IN MATERIE PLASTICHE | STAMPI E FILIERE PER  MATERIE PLASTICHE E GOMMA | APPARECCHIATURE PER CONTROLLI E PROVE DI LABORATORIO | FORNITURA DI LAVORAZIONI ",
CHINCHIO SERGIO,https://dp-plast.fieramilano.it/exhibitor/282,https://dp-plast.fieramilano.it/exhibitor/282,Via Brescia 8/A,21049,TRADATE,VA,Lombardia,Italy,+39 0331 850688,info@chinchiosergio.com,http://www.chinchiosergio.com,13,R14 R16,,,,,IMPIANTI D'ESTRUSIONE PER COMPOUND | TAGLIERINE | ESTRUSIONE | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE PER LAVORAZIONE SECONDARIA DI  MATERIE PLASTICHE E GOMMA | FORNITURA DI LAVORAZIONI PER CONTO TERZI | FORNITORI DI SEMILAVORATI O PRODOTTI FINITI IN  MATERIE PLASTICHE E GOMMA E SERVIZI DI LAVORAZIONE C,MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA
EXPLAST,https://dp-plast.fieramilano.it/exhibitor/283,https://dp-plast.fieramilano.it/exhibitor/283,Prumyslova 2396,25001,Brandys nad Labem,,,Czechia,+420 321 021600,info@explast.cz,http://www.explast.cz,9,B99,,,,,"POLIETILENE BASSA DENSITA' (LDPE) | POLIETILENE ALTA DENSITA' (HDPE) | COPOLIMERI DI POLIPROPILENE (PPCP) | POLIETILENE MEDIA DENSITA' (MDPE) | OMOPOLIMERI DI POLIPROPILENE (PPHP) | POLISTIRENE (GPPS, HIPS, EPS) | MASTERBATCH MODIFICANTI | CARICHE E RIEMPITIVI MINERALI | POLIOLEFINICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | STIRENICHE E COPOLIMERI A BASE DI STIRENE | PIGMENTI, COLORANTI E MASTERBATCH | CARICHE E RINFORZI","Commercio all’ingrosso di materie plastiche, supporto tecnico, sviluppo prodotto e logistica"
MITUTOYO,https://dp-plast.fieramilano.it/exhibitor/284,https://dp-plast.fieramilano.it/exhibitor/284,Corso Europa 7,20045,LAINATE,MI,Lombardia,Italy,+39 02 935781,commerciale@mitutoyo.it,http://www.mitutoyo.it,11,C82,,,,,"PROVE, MISURE E CONTROLLI | GARANZIA DI QUALITA' | FABBRICAZIONE E PROCESSO | SERVIZI DI CONSULENZA E ORGANIZZAZIONI PER IL SETTORE DELLE MATERIE PLASTICHE E DELLA GOMMA",
PROMAPLAST SRL,https://dp-plast.fieramilano.it/exhibitor/286,https://dp-plast.fieramilano.it/exhibitor/286,CENTRO DIREZIONALE MILANOFIORI PAL.F/3,20057,ASSAGO,MI,Lombardia,Italy,390282283775,g.zazzaro@macplas.it,http://www.macplas.it,,TEST,,,,,,
REVET,https://dp-plast.fieramilano.it/exhibitor/287,https://dp-plast.fieramilano.it/exhibitor/287,"Viale America 104, Località Gello",56025,PONTEDERA,PI,Toscana,Italy,+39 0587 2712,info@revet.com,http://www.revet.com,9,D34 D38,,,,,"MISCELE DI POLIOLEFINE | POLIETILENE RIGENERATO (R PE) | POLIOLEFINICHE | MATERIE PRIME, RIGENERATE E COMPOSITI","Revet è una società a capitale prevalente pubblico, in grado di gestire e valorizzare tutte le raccolte differenziate degli imballaggi della Toscana, e di riciclare direttamente gli imballaggi poliolefinici producendo un granulo 100% riciclato post consumo e riciclabile. Chi utilizza il granulo Revet per stampare i suoi prodotti può abbattere l'impronta ambientale della propria produzione fino al 75%."
HOLLAND COLOURS,https://dp-plast.fieramilano.it/exhibitor/288,https://dp-plast.fieramilano.it/exhibitor/288,Halvemaanweg 1,7323 RW,Apeldoorn,NL,,Netherlands,+31 055 3680700,info@hollandcolours.com,http://www.hollandcolours.com,9,C115,,,,,"PIGMENTI IN POLVERE | COLORANTI LIQUIDI | MASTERBATCH COLORANTI | MASTERBATCH MODIFICANTI | ALTRI MASTERBATCH | ALTRI ADDITIVI E AUSILIARI | PIGMENTI, COLORANTI E MASTERBATCH | MATERIE PRIME, RIGENERATE E COMPOSITI | ALTRI ADDITIVI E AUSILIARI DI PROCESSO","In qualità di vostri partner, troveremo insieme la soluzione migliore. Con un'attenzione particolare al servizio personalizzato, progettiamo congiuntamente soluzioni innovative per un'industria sostenibile. Sviluppiamo e forniamo coloranti e additivi su misura che vi offrono tranquillità e soddisfano le esigenze di domani."
AMUT,https://dp-plast.fieramilano.it/exhibitor/289,https://dp-plast.fieramilano.it/exhibitor/289,Via Cameri 16,28100,NOVARA,NO,Piemonte,Italy,+39 0321 6641,info@amut.it,http://www.amut.it,13,P33 R26,,,,,"IMPIANTI DI RICICLAGGIO | ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO, ALTRE | IMPIANTI D'ESTRUSIONE PER FILM-FOGLIE-LASTRE | ESTRUSORI MONOVITE | ESTRUSORI BIVITE | ESTRUSORI, ALTRI | IMPIANTI D'ESTRUSIONE PER TUBI E PROFILI | IMPIANTI D'ESTRUSIONE, ALTRI | CALANDRE | TAGLIERINE | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | MACCHINE TRASFORMATRICI PER  MATERIE PLASTICHE E GOMMA,ALTRE | MACCHINE PER LAVORAZIONE SECONDARIA DI  MATERIE PLASTICHE E GOMMA","Fondata nel 1958, AMUT è un'azienda italiana con una dimensione globale, specializzata in tecnologie di estrusione e riciclo. Fornisce impianti completi chiavi in mano, che coprono l'intera filiera del riciclo della plastica, dalla selezione e lavaggio di film in PET, HDPE, PP e PE agli impianti di recupero, oltre a linee di estrusione ad alte prestazioni per foglia, lastra, membrane impermeabilizzanti, tubi, profili e film estensibili."
INDUSTRIAL FRIGO,https://dp-plast.fieramilano.it/exhibitor/290,https://dp-plast.fieramilano.it/exhibitor/290,Via Maestri 49/51,25011,CALCINATO,BS,Lombardia,Italy,+39 030 963160,i.f@industrialfrigo.com,http://www.industrialfrigo.com,24,C72 C76,,,,,"ESSICCATORI/DEUMIDIFICATORI PER MATERIALI IN MASSA | REFRIGERATORI D'ACQUA | UNITÀ DI RISCALDAMENTO E RAFFREDDAMENTO PER STAMPI E FILIERE | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA, ALTRE | PARTI E COMPONENTI DI MACCHINE PER MATERIE PLASTICHE E GOMMA, ALTRE | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | PARTI E COMPONENTI DI MACCHINE  PER MATERIE PLASTICHE E GOMMA","Nata nel 1970 nel cuore del distretto produttivo vicino al Lago di Garda, Industrial Frigo è oggi leader nell’ideazione e costruzione di sistemi avanzati per la refrigerazione industriale e la termoregolazione.

 I NOSTRI FOCUS PER IL SETTORE PLASTICA:

 REFRIGERAZIONE AD ALTA EFFICIENZA: Chiller progettati per massimizzare il risparmio energetico e la precisione termica.

 TERMOREGOLAZIONE AVANZATA: Centraline per il controllo accurato degli stampi, garantendo cicli produttivi rapidi e qualità costante.

 ECO-INNOVAZIONE: Sistemi Free-Cooling e utilizzo di refrigeranti a basso GWP per una produzione sostenibile."
TECNOFER,https://dp-plast.fieramilano.it/exhibitor/291,https://dp-plast.fieramilano.it/exhibitor/291,Via Calto 409/28,45030,CENESELLI,RO,Veneto,Italy,+39 0425 849090,sales1@tecnofer.biz,http://www.tecnofer.biz,13,B33 C34,,,,,"ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | IMPIANTI DI RICICLAGGIO | ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO, ALTRE | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA","Dal 1976 Tecnofer opera nel settore del riciclo, progettando e costruendo macchine e impianti con alto livello di automazione per la valorizzazzione degli scarti . In particolare linee complete per il trattamento dei rifiuti plastici come contenitori in PET, PP e HDPE, ma anche FILM LDPE-LLDPE agricolo e post-consumo, soluzioni speciali per il recupero dello scarto pulper nel settore cartario, del Tetra Pak, del rifiuto organico e per la valorizzazione del rifiuto confezionato (depackaging)."
TECNOVA,https://dp-plast.fieramilano.it/exhibitor/292,https://dp-plast.fieramilano.it/exhibitor/292,Via Verbano 56/A,28047,OLEGGIO,NO,Piemonte,Italy,+39 0321 91700,info@tecnovarecycling.it,http://www.tecnovarecycling.it,15,E53 G54,,,,,IMPIANTI DI RICICLAGGIO | ESTRUSORI MONOVITE | ESTRUSORI BIVITE | IMPIANTI D'ESTRUSIONE PER TUBI E PROFILI | IMPIANTI D'ESTRUSIONE PER RIVESTIMENTO DI TUBI E CAVI | IMPIANTI D'ESTRUSIONE PER GOMMA | SILOS E DISPOSITIVI DI SCARICO SILOS | VITI DI PLASTIFICAZIONE | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | ESTRUSORI E IMPIANTI D'ESTRUSIONE PER  MATERIE PLASTICHE E GOMMA | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA | PARTI E COMPONENTI DI MACCHINE  PER MATERIE PLASTICHE E GOMMA,
MAAG ITALY,https://dp-plast.fieramilano.it/exhibitor/293,https://dp-plast.fieramilano.it/exhibitor/293,Viale Romagna 7,20089,ROZZANO,MI,Lombardia,Italy,+39 02 5759321,maagitaly@maag.com,http://www.maag.com,13,L09 M10,,,,,"PELLETTIZZATORI | IMPIANTI DI RICICLAGGIO | MACCHINE TRASFORMATRICI, ALTRE | SEPARATORI DI METALLI | POMPE PER MASSE FUSE | DISPOSITIVI E SISTEMI DI CONTROLLO E SUPERVISIONE, ALTRI | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA, ALTRE | ALTRE APPARECCHIATURE PER MISURE E PROVE PER PROPRIETÀ MECCANICHE E DINAMICHE | MISURATORI DI TEMPERATURA DEL FUSO | MISURATORI DI SPESSORE | MISURATORI DI PRESSIONE DEL FUSO | SENSORI DI ALLINEAMENTO E CENTRATURA | APPARECCHIATURE PER MISURE E PROVE PER PROPRIETÀ REOLOGICHE | APPARECCHIATURE PER MISURE E PROVE PER PROPRIETÀ MECCANICHE E DINAMICHE | APPARECCHIATURE PER CONTROLLI E PROVE, ALTRE | ESTRUSIONE | PROVE, MISURE E CONTROLLI | CAMBIAFILTRI | FILTRI PER MASSE FUSE | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLA","Il MAAG Group fornisce soluzioni ampiamente diversificate con sistemi integrati e personalizzati nella tecnologia di processo per l'industria polimerica, chimica e petrolchimica. Le sue divisioni, Pompe e Sistemi di Filtrazione, Sistemi di Pellettizzazione e di Polverizzazione, Sistemi di Misurazione e Controllo, consolidano la pluriennale esperienza e il know-how dei marchi AMN, AUTOMATIK, ETTLINGER, GALA, MAAG, REDUCTION, SCHEER, SIKORA, WITTE e XANTEC. Nei siti produttivi del MAAG Group, in Svizzera, Germania, Francia, Italia, USA e Cina, attualmente operano oltre 1900 persone. Centri di vendita e assistenza sono presenti in Malesia, India, Thailandia e Brasile garantendo attenzione e supporto alle necessità dei clienti. Per maggiori informazioni visitate il sito www.maag.com."
CMG GRANULATORS,https://dp-plast.fieramilano.it/exhibitor/294,https://dp-plast.fieramilano.it/exhibitor/294,Via A. Sarti 2,40054,BUDRIO,BO,Emilia-Romagna,Italy,+39 051 6920875,sales@cmg.it,http://www.cmg-granulators.com,22,B41,,,,,"ATTREZZATURE PER RIDUZIONE DIMENSIONALE (FRANTUMATORI, TRITURATORI, GRANULATORI) | IMPIANTI DI RICICLAGGIO | ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO, ALTRE | MACCHINE PER LA LAVORAZIONE DELLA GOMMA, ALTRE | CONVOGLIATORI E SISTEMI DI TRASPORTO DI POLVERI E GRANULI (ESCLUSI CARRELLI E CARRELLI ELEVATORI) | MACCHINE E ATTREZZATURE PER LA PREPARAZIONE E IL RICICLAGGIO DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE E ATTREZZATURE PER L'INDUSTRIA DELLE MATERIE PLASTICHE E DELLA GOMMA | MACCHINE TRASFORMATRICI PER  MATERIE PLASTICHE E GOMMA,ALTRE | ATTREZZATURE AUSILIARIE PER LA LAVORAZIONE DI  MATERIE PLASTICHE E GOMMA","CMG Granulators progetta e realizza soluzioni per l’industria del riciclo tra cui granulatori, trituratori monoalbero, sistemi di alimentazione integrati, sistemi di evacuazione e trasporto rimacinato e separatori di polvere. CMG opera in sei Settori Applicativi nell’industria della plastica: Termoformatura, Estrusione, Soffiaggio, Stampaggio a iniezione, Riciclo e Cavi."
CALDARA PLAST,https://dp-plast.fieramilano.it/exhibitor/295,https://dp-plast.fieramilano.it/exhibitor/295,Via Gianbattista Giovio 633,22040,ALZATE BRIANZA,CO,Lombardia,Italy,+39 031 632542,divisionecompound@caldara.it,http://www.caldara.it,9,B82,,,,,"POLIMETILMETACRILATO (PMMA) | POLIAMMIDE 6 (PA 6) | POLIAMMIDE 66 (PA 66) | POLIBUTILENTEREFTALATO (PBT) | POLIETILENTEREFTALATO RIGENERATO (R PET) | POLICARBONATO (PC) | POLIETILENTEREFTALATO (PET) | COPOLIMERI DI STIRENE-ACRILONITRILE (SAN) | POLISTIRENE (GPPS, HIPS, EPS) | ACRILONITRILE-BUTADIENE-STIRENE (ABS) | ACRILONITRILE-STIRENE-ACRILATO (ASA) | COPOLIMERI DI STIRENE-METILMETACRILATO (SMMA) | ACRILONITRILE-BUTADIENE-STIRENE RIGENERATO (R ABS) | POLIETERETERCHETONE (PEEK) | POLIFENILENSOLFURO (PPS) | ACETALICHE (POM) | POLISULFONE (PSU) | ACRILICHE | MATERIE PRIME, RIGENERATE E COMPOSITI | POLIAMMIDICHE | POLIESTERI TERMOPLASTICI | STIRENICHE E COPOLIMERI A BASE DI STIRENE | ALTRE MATERIE PLASTICHE","Ci occupiamo di recycling di materie plastiche dal 1963 Siamo capaci di offrire ai nostri clienti un’ampia gamma di prodotti rigenerati o prime scelte sia di qualità industriale sia tecnopolimeri. Il recupero delle materie plastiche secondo i precursori dell’economia circolare.
 La mission di Caldara Plast è quella di:
 ridurre il rifiuto plastico non recuperabile ai minimi termini promuovere la cultura dell’utilizzo di materiale rigenerato, riducendo notevolmente l’utilizzo delle materie prime vergini Lavoriamo ogni giorno per dare una seconda vita alla plastica. Per un futuro sempre più green."
